year,white_median,white_average,black_median,black_average,white_men_median,white_men_average,black_men_median,black_men_average,white_women_median,white_women_average,black_women_median,black_women_average
2022,24.96,34.49,19.6,25.61,27.11,39.1,20.02,27.43,22.47,29.5,19,23.99
2021,25.4,34.5,19.45,25.4,27.76,38.78,20.08,26.88,22.76,29.9,18.85,24.13
2020,25.98,34.86,19.85,26.03,28.36,39.08,20.56,27.4,23.05,30.3,19.26,24.87
2019,24.39,32.79,18.45,24.09,27.39,36.84,19.31,25.18,22.01,28.41,18.08,23.17
2018,23.97,32.44,17.57,23.53,26.79,36.55,18.66,24.67,21.75,28.01,17.34,22.55
2017,23.87,31.64,17.84,22.95,26.36,35.3,18.15,24.27,21.48,27.71,17.22,21.81
2016,23.56,31.3,18.15,23.09,26.34,35.12,18.42,24.53,21.14,27.22,17.13,21.86
2015,23.37,30.75,17.38,22.72,25.73,34.57,18.4,24,20.77,26.66,16.64,21.65
2014,22.73,29.49,17.25,22.17,24.89,32.89,18,23.02,20.12,25.87,16.32,21.46
2013,22.73,29.72,17.61,22.34,25.19,33.42,18.73,23.45,20.24,25.79,16.89,21.42
2012,22.86,29.59,17.23,22.32,25.46,33.34,18.02,23.57,20.28,25.58,16.52,21.29
2011,22.73,29.27,17.69,22.32,25.24,32.73,18.35,23.26,20.34,25.64,16.98,21.55
2010,23.18,29.86,18.27,22.71,26.08,33.69,18.99,23.72,20.32,25.92,17.45,21.9
2009,23.35,29.86,18.37,22.7,26.49,33.96,19.64,23.99,20.56,25.67,17.54,21.68
2008,22.92,29.09,17.64,22.06,26.09,32.87,18.95,23.16,20.34,25.13,16.65,21.16
2007,22.78,29.02,17.7,22.19,25.85,32.78,18.72,23.22,20.33,25.03,17.06,21.33
2006,22.67,28.62,18,22.3,25.55,32.24,18.97,23.53,20.23,24.76,17.4,21.27
2005,22.63,28.56,17.86,21.85,25.59,32.18,18.64,22.99,20.04,24.71,16.64,20.9
2004,23.18,28.67,18.57,22.35,26.21,32.52,19.42,23.78,20.14,24.59,17.65,21.16
2003,23.08,28.65,18.42,22.35,26.08,32.42,19.25,23.46,20.07,24.7,17.53,21.43
2002,22.93,28.62,18.05,21.97,26.05,32.41,19.49,23.16,19.82,24.56,17.07,20.97
2001,22.72,28.08,17.58,21.59,25.82,31.86,19,22.92,19.72,24,16.63,20.48
2000,22.06,27.47,17.48,21.49,25.56,31.34,18.77,22.97,18.87,23.3,16.92,20.24
1999,21.81,27.06,17.53,21.09,25.39,30.77,18.88,22.65,18.7,23.01,16.04,19.78
1998,21.48,26.42,17.11,20.67,24.79,29.98,18.07,22,18.16,22.56,16.13,19.52
1997,20.75,25.59,16.3,19.76,23.81,29.02,17.33,21.07,18.06,21.87,15.33,18.62
1996,20.38,25.07,15.95,19.3,23.36,28.42,16.9,20.4,17.59,21.43,15.03,18.33
1995,20.19,24.97,15.99,19.76,23.16,28.41,17.2,20.87,17.36,21.2,15.21,18.76
1994,19.86,24.99,15.87,19.98,23.43,28.29,17.19,21.26,17.53,21.38,15.18,18.81
1993,20.11,24.52,16.12,19.62,23.79,27.87,17.27,20.68,17.58,20.9,15.51,18.66
1992,20.41,24.38,16.23,19.4,23.64,27.85,17.19,20.46,17.36,20.61,15.34,18.44
1991,20.7,24.37,16.12,19.34,23.73,28.02,17.25,20.57,17.04,20.35,15.27,18.19
1990,20.39,24.27,16.29,19.11,23.96,28.04,17.5,20.55,17.13,20.05,15.16,17.77
1989,20.35,24.23,16.2,19.27,24.09,28.16,17.52,20.66,17.01,19.81,15.13,17.94
1988,20.41,24.85,16.65,19.96,24.1,29.34,18.18,21.97,16.92,19.77,14.98,18.02
1987,20.31,24.62,16.32,19.63,24.72,29.11,18.32,21.57,16.81,19.49,14.98,17.77
1986,20.35,24.42,16.29,19.46,25.36,28.94,18.24,21.41,16.36,19.21,15.04,17.57
1985,19.76,23.83,15.95,19.06,24.79,28.18,17.9,20.86,16.02,18.7,14.62,17.31
1984,19.82,23.49,15.97,19.03,24.17,27.72,18.21,21.16,15.95,18.4,14.2,16.93
1983,19.58,23.35,16,19.1,24.41,27.67,17.98,21.26,15.67,18.19,14.23,16.95
1982,19.74,23.31,15.92,18.87,24.6,27.65,18.24,20.97,15.44,18.06,14.44,16.8
1981,19.43,23.08,16.04,19.06,24.6,27.37,18.9,21.31,15.41,17.73,14.36,16.78
1980,19.91,23.19,16.46,19.16,25.08,27.51,18.7,21.4,15.41,17.71,14.12,16.85
1979,19.97,23.66,16.69,19.56,25.51,28.03,19.15,22,15.47,17.91,14.46,16.95
1978,20.26,23.46,16.2,19.09,25.08,27.81,19.74,21.38,15.4,17.68,14,16.76
1977,20,23.38,16.23,18.93,24.94,27.66,18.7,20.84,15.33,17.57,14.06,16.91
1976,20.06,23.47,16.25,19.2,24.32,27.54,19.19,21.57,15.42,17.79,13.97,16.73
1975,19.96,23.3,16.15,18.46,24.68,27.37,19.15,20.6,15.32,17.45,13.41,16.14
1974,20.04,23.21,16.07,18.36,24.55,27.34,19.02,20.84,15.22,17.23,13.46,15.68
1973,20.53,23.72,15.96,18.61,24.98,27.93,19.29,21.09,15.36,17.57,13.38,15.83
